name,permalink,sector,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at
accelera innovations,/company/accelera-innovations,health,200000000.0,ipo,USA,IL,Chicago,frankfort,1.0,
alignmed,/company/alignmed,ecommerce,450000.0,operating,USA,CA,Los Angeles,santa ana,1.0,2006-01-01
mvakil,/company/mvakil,legal,100000.0,operating,USA,CA,Los Angeles,los angeles,1.0,2013-08-10
ifmr rural channels and services,/company/ifmr-rural-channels-and-services,finance,5000000.0,operating,IND,,Tamilnadu,tamilnadu,1.0,2006-01-01
university of dallas,/company/university-of-dallas,education,12000000.0,operating,USA,TX,Dallas,irving,1.0,1956-01-01
pwa,/company/pwa,cleantech,11000000.0,operating,USA,OH,Wooster,wooster,1.0,2011-01-01
cover lockscreen,/company/cover-lockscreen,mobile,1700000.0,operating,,,unknown,,1.0,2013-03-01
beauty booked,/company/beauty-booked,web,530000.0,operating,USA,,New York,new york,1.0,2012-11-01
inventure cloud,/company/inventurecloud,ecommerce,38598.0,operating,ESP,,Valencia,valencia,1.0,2013-06-07
hire-intelligence,/company/hire-intelligence,software,750000.0,operating,USA,VA,TBD,glouchester,1.0,2011-01-01
foxwordy,/company/foxwordy,mobile,800000.0,operating,USA,CA,SF Bay,palo alto,1.0,2012-06-12
kizoom,/company/kizoom,education,500000.0,operating,USA,CA,SF Bay,berkeley,1.0,
corkcrm,/company/corkcrm,software,5000.0,operating,,,unknown,,1.0,2013-01-01
lyon college,/company/lyon-college,education,3000000.0,operating,USA,AR,Batesville,batesville,1.0,
forsythe,/company/forsythe,consulting,750000.0,operating,USA,IL,Stokie,stokie,1.0,1971-01-01
the matlet group,/company/the-matlet-group,software,8500000.0,operating,USA,RI,Pawtucket,pawtucket,1.0,
wo funding,/company/wo-funding,other,500000.0,operating,,,unknown,,1.0,2013-02-19
spreetales,/company/spreetales,,10000000.0,operating,,,unknown,,1.0,
kovio,/company/kovio,semiconductor,76500100.0,operating,USA,CA,SF Bay,san jose,6.0,2001-01-01
apply financials limited,/company/apply-financials-limited,,1000000.0,operating,,,unknown,,1.0,
protonmedia,/company/protonmedia,enterprise,8000000.0,operating,USA,PA,Philadelphia,lansdale,3.0,
elastica,/company/elastica,,6311000.0,operating,USA,CA,SF Bay,san jose,1.0,
trod medical,/company/trod-medical,medical,6111350.0,operating,FRA,,Paris,paris,1.0,
sparq systems,/company/sparq-systems,software,2874027.0,operating,CAN,,Ontario,ontario,2.0,2009-01-01
shopkick,/company/shopkick,mobile,20000000.0,operating,USA,CA,SF Bay,redwood city,3.0,2009-06-01
peeppl media,/company/peeppl-media,web,48000.0,operating,CAN,,British Columbia,british columbia,1.0,
convergent.io technologies,/company/convergent-io-technologies,,11406000.0,operating,USA,CA,SF Bay,san jose,1.0,
audioscribe,/company/audioscribe,,1499800.0,operating,,,unknown,,2.0,
interlace medical,/company/interlace-medical,medical,20000000.0,acquired,USA,MA,Boston,framingham,1.0,2006-01-01
plato networks,/company/plato-networks,semiconductor,27500000.0,closed,USA,CA,SF Bay,santa clara,2.0,1996-01-01
tivra,/company/tivra,,250000.0,operating,USA,CA,SF Bay,pleasant hill,1.0,2012-01-01
zephyr technology,/company/zephyr-technology,biotech,13304965.0,operating,USA,MD,Washington DC,annapolis,3.0,2003-01-01
oriel sea salt,/company/oriel-sea-salt,manufacturing,1286600.0,operating,IRL,,TBD,county louth,1.0,
relievant medsystems,/company/relievant-medsystems,biotech,50000000.0,operating,USA,CA,SF Bay,redwood city,2.0,2004-01-01
pv evolution labs,/company/pv-evolution-labs,,235000.0,operating,USA,CA,SF Bay,san francisco,2.0,2009-01-01
platypus platform,/company/platypus-platform,software,1000000.0,operating,RUS,,Russian Federation - Other,,1.0,2013-01-01
pt pal,/company/pt-pal,health,30000.0,operating,USA,TX,Dallas,dallas,1.0,2013-01-01
cellfor,/company/cellfor,cleantech,56500000.0,closed,CAN,,Vancouver,"vancouver, bc",2.0,
fat spaniel technologies,/company/fat-spaniel-technologies,cleantech,32630837.0,acquired,USA,CA,SF Bay,san jose,4.0,2003-01-01
sportscstr,/company/sportscstr,,280000.0,operating,USA,WA,Seattle,sammamish,1.0,2013-01-01
shakti,/company/shakti,web,15000.0,operating,USA,CA,Los Angeles,newport beach,1.0,2013-05-01
avidbiotics,/company/avidbiotics,biotech,2840173.0,operating,USA,CA,SF Bay,south san francisco,2.0,
aryx therapeutics,/company/aryx-therapeutics,biotech,27900000.0,closed,USA,CA,SF Bay,fremont,2.0,
opttown,/company/opttown,,100000.0,operating,USA,CA,SF Bay,pleasanton,1.0,2011-01-01
initme,/company/initme,,1061000.0,operating,,,unknown,,1.0,
visicon technologies,/company/visicon-technologies,,1102000.0,operating,USA,CA,Napa,napa,1.0,2001-01-01
catalyst repository systems,/company/catalyst-secure,legal,31012393.0,operating,USA,CO,Denver,denver,1.0,2000-09-01
wellfx,/company/wellfx,health,5000000.0,operating,USA,CA,SF Bay,petaluma,1.0,2011-01-01
sixtron advanced materials,/company/sixtron,cleantech,12410000.0,closed,CAN,,Dorval,dorval,2.0,2004-01-01
mwhs,/company/mwhs,,1797000.0,operating,,,unknown,,1.0,
hint inc,/company/hint-inc,,5400000.0,operating,USA,CA,SF Bay,san francisco,1.0,2005-01-01
alter eco,/company/alter-eco,,3050000.0,operating,USA,CA,SF Bay,san francisco,1.0,
lead therapeutics,/company/lead-therapeutics,biotech,17000000.0,closed,USA,CA,SF Bay,san bruno,1.0,
folkstr,/company/folkstr,web,250000.0,closed,,,unknown,,1.0,2007-10-10
trireme medical,/company/trireme-medical,medical,50500000.0,operating,USA,CA,SF Bay,pleasanton,3.0,2005-01-01
marketshot,/company/marketshot,advertising,2662400.0,operating,FRA,,Paris,paris,1.0,2008-01-02
stonybrook purification,/company/stonybrook-purification,cleantech,4100000.0,closed,,,unknown,,1.0,
solarbridge technologies,/company/solarbridge-technologies,cleantech,63050000.0,operating,USA,TX,Austin,austin,6.0,2004-01-01
dynamic defense materials,/company/dynamic-defense-materials,other,2000000.0,operating,USA,NJ,Philadelphia,marlton,1.0,
zapa,/company/zapa,mobile,6962500.0,operating,IRL,,Dublin,dublin,2.0,2009-01-15
angioscore,/company/angioscore,biotech,42000000.0,operating,USA,CA,SF Bay,fremont,2.0,2003-01-01
other machine,/company/other-machine,manufacturing,1175000.0,operating,USA,CA,SF Bay,san francisco,1.0,2013-01-01
aviir,/company/aviir,biotech,70930000.0,operating,USA,CA,Los Angeles,irvine,14.0,2005-01-01
